item_id;category_id;category_name;title;content;type;source;heat;date_time;i_keywords_label;i_class_label;i_entities_label
081daf681f5841ebadd3599b6684bdff;a7d7b2f01de741b0a16e21bfd4a9bfd5;军事/军史回眸;女儿眼中的一级战斗英雄 追忆空军原司令员王海上将;;doc;新浪新闻;12;1606147200000;['志愿军', '航空', '父亲', '敌机', '飞行员', '被子', '战斗英雄', '时任', '空军', '战机'];['军史回眸', '国际军事', '军事'];['东北民主联军', '美军', '美国空军', '加布里埃尔', '广州军区空军', 'F-84战机', '米格15战机', ' \u3000\u3000忆', '王海', '中国空军', '空军', '美空军', '志愿军空军', '中国人民解放军空军', '伟大 \u3000\u3000志愿军', '王小华', '刘玉堤', ' \u3000\u3000王海', '王海上', '中国人民志愿军', '人民空军', '中国人民志愿军空军', '王海 ', '中国志愿军', ' \u3000\u3000空军', '歼20']
c1b284397811424e814337b874ee67c5;a7d7b2f01de741b0a16e21bfd4a9bfd5;军事/军史回眸;志愿军取胜纯属偶然？美军实力明显占优结果还完败;;doc;新浪新闻;1;1606147200000;['志愿军', '师团', '温井', '敌军', '态势', '部队', '联队', '战役', '命令', '战场'];['军史回眸', '国际军事', '军事'];['美军第8集团军', '清川江', '志愿军', '美军队', '米尔本', '第2军团', '韩军第7师团', '神速 \u3000\u3000', '麦克阿瑟', '美韩部队', '中国军队', '熙川', '第8师团', '梁兴', '第6师团第7联队', '三十八军', '战机', '三十九军117师部队', '美军骑兵第1师', '韩军第2军团', '英军第27旅', '志愿军三十九军', '第10军', '红军', '彭德怀', '长金钟五', '第7联队', '美军第1军军', '英美军队', '韩军第2军团第6师团', '韩军', '美军第24师', '韩军第7联队', '战役志愿军', '美军第1军', '韩军第1师团', '第6师团第19联队', '沃克', '阻击部队', '美军', '反攻温井里救援第7联队', ' \u3000\u3000志愿军', '第1师团', '韩军第6师团第2联队', '韩军第2联队', '毛泽东', '韩军第2军团军团', '美韩军', '第10联队', '渡江点价川', '第7师团', '第8师团第10联队', '日军', '苏联军队', '志愿军118师', '韩军第8师团第10联队', ' \u3000\u3000志愿军', '韩军第8师团', '中国人民志愿军', '渡过汉江', '韩军王牌部队第1师团', '美军预备队', '阻击部队344团', '王正兴', '第19联队', '韩军第1师团师团', '渡过清川江']
227cf60fbdd54e3eb946e3450c6de394;a7d7b2f01de741b0a16e21bfd4a9bfd5;军事/军史回眸;沈阳抗美援朝烈士陵园祭奠英烈断想;;doc;新浪新闻;11;1606147200000;['志愿军', '敌人', '教授', '作者', '事迹', '部队', '纪念馆', '烈士', '干休所', '战友'];['军史回眸', '国际军事', '军事'];['29师87团3营', '中国人民志愿军第三兵团', '拉响手榴弹', ' \u3000\u3000雷锋', '雷锋', '潜伏部队', '燃烧弹', '张忠发', '魏巍', '战机', '孙希诰', '杨根思']
38bed46c83a942e9b13e66b4c35e9cfa;a7d7b2f01de741b0a16e21bfd4a9bfd5;军事/军史回眸;重访抗美援朝纪念馆和沈阳抗美援朝烈士陵园;;doc;新浪新闻;11;1606147200000;['志愿军', '遗骸', '部队', '历史', '战斗英雄', '边境', '仪式', '烈士', '精神', '烈士陵园'];['军史回眸', '国际军事', '军事'];['中国人民志愿军', '谢长平', ' 辛 阳 刘洪超 \u3000\u3000', '韩中国人民志愿军', '人民军队', '李庆峰']
ca023e939f3e46e586d9dbcd6c4ad5a7;a7d7b2f01de741b0a16e21bfd4a9bfd5;军事/军史回眸;沈阳抗美援朝烈士陵园烈士纪念馆开馆;;doc;新浪新闻;7;1606147200000;['志愿军', '抗美援朝战争', '载体', '复原', '开馆', '纪念馆', '烈士', '空军', '烈士陵园', '场景'];['军史回眸', '国际军事', '军事'];['中国人民志愿军', '人民空军', '英雄杨根思', '马世勋', '李维波', '秦喆']
89ec2b99560c4c178f7656a3723b00f3;a7d7b2f01de741b0a16e21bfd4a9bfd5;军事/军史回眸;志愿军老兵：想回去安葬战友 但做记号的树已被烧光;;doc;新浪新闻;5;1606147200000;['志愿军', '钢笔', '军装', '保家', '脚趾', '部队', '知党', '耳朵', '屈服', '战友'];['军史回眸', '国际军事', '军事'];[' \u3000\u3000志愿军', '第27军79师', '渡江', '燃烧弹', '国民党军队', '八路军', ' \u3000\u3000志愿军']
50b36ccd7eb144dab768c6d777085513;a7d7b2f01de741b0a16e21bfd4a9bfd5;军事/军史回眸;志愿军老兵：有段时间美军机天天炸 大家踩尸体前行;;doc;新浪新闻;8;1606147200000;['志愿军', '敌人', '记者', '部队', '老人', '老战士', '身体', '战役', '头部', '战友'];['军史回眸', '国际军事', '军事'];['飞机', '38军114师340团1营1连', '金川', '美军', '芥川', '刘淑华', '德川', '\u3000\u3000子弹', '刘大勇', '孙广金', '机关枪']
3af9c99827734ad5a5fab089790619ba;a7d7b2f01de741b0a16e21bfd4a9bfd5;军事/军史回眸;“崖山之后无中国 明亡之后无华夏”的观点错在哪;;doc;新浪新闻;12;1606147200000;['政治', '社会', '研究院', '民族', '历史', '观点', '问题', '人类', '概念', '世界'];['军史回眸', '国际军事', '军事'];['汤因比', '阿诺德·汤因比', '费尔南·布罗代尔', '缪尔·']
3cdd6289b6494d7390c075f847ab01ae;a7d7b2f01de741b0a16e21bfd4a9bfd5;军事/军史回眸;志愿军老战士常宗信：“我们的胜利是拼出来的”;;doc;新浪新闻;3;1606147200000;['志愿军', '钢笔', '军装', '保家', '脚趾', '部队', '知党', '耳朵', '屈服', '战友'];['军史回眸', '国际军事', '军事'];[' \u3000\u3000志愿军', '第27军79师', '渡江', '燃烧弹', '国民党军队', '八路军', ' \u3000\u3000志愿军']
f3fdaaf457fd4e28844d2fbeda36a1bf;a7d7b2f01de741b0a16e21bfd4a9bfd5;军事/军史回眸;志愿军老战士刘振山：“每天急行军 没空考虑生死”;;doc;新浪新闻;12;1606147200000;['志愿军', '敌人', '记者', '部队', '老人', '老战士', '身体', '战役', '头部', '战友'];['军史回眸', '国际军事', '军事'];['飞机', '38军114师340团1营1连', '金川', '美军', '芥川', '刘淑华', '德川', '刘大勇', '孙广金', '机关枪']
c99fd3bde1ee45ed86bd1404128683e1;a7d7b2f01de741b0a16e21bfd4a9bfd5;军事/军史回眸;抗美援朝老兵：炸弹来袭瞬间 我本能地护住电台;;doc;新浪新闻;11;1606147200000;['志愿军', '报务员', '总部', '电台', '部队', '关长', '指挥部', '前卫团', '战士', '任务'];['军史回眸', '国际军事', '军事'];['解放军第四野战军38军', '彭德怀', '中国人民志愿军', '董磊 ', '炮弹', '渡过鸭绿江', '解放军', '飞机炸弹']
0e40ae4871e24c7fab5c9f204541ce4a;a7d7b2f01de741b0a16e21bfd4a9bfd5;军事/军史回眸;志愿军老战士：我送情报，敌机就在头上扫射;;doc;新浪新闻;6;1606147200000;['军装', '炮弹', '角度', '老人', '老战士', '司令部', '炮兵', '战功', '战役', '战场'];['军史回眸', '国际军事', '军事'];['火炮', '中国人民志愿军', '赵云', '美军', '赵敬凯', ' \u3000\u3000云山', '炮兵第1师', '美军坦克营', ' \u3000\u3000赵云', '中国人民解放军412团2营', '炮弹']
6e8ec1708a8c4a5e9c0886607bd8ffc7;a7d7b2f01de741b0a16e21bfd4a9bfd5;军事/军史回眸;志愿军报务员：炸弹来袭瞬间 我本能地护住电台;;doc;新浪新闻;3;1606147200000;['志愿军', '总部', '电台', '部队', '关长', '军部', '指挥部', '前卫团', '任务', '战士'];['军史回眸', '国际军事', '军事'];['解放军第四野战军38军', '彭德怀', '中国人民志愿军', '炮弹', '渡过鸭绿江', '解放军', '飞机炸弹']
38c9afbb9812490e96105650cafb0483;a7d7b2f01de741b0a16e21bfd4a9bfd5;军事/军史回眸;12年前 四名执行侦察中国任务的中情局特工命丧南海;;doc;新浪新闻;7;1606147200000;['机密', '秘密', '装备', '技术', '海事处', '资料', '信号', '证明', '吊舱', '任务'];['军史回眸', '国际军事', '军事'];['迈克尔·佩里克', '杰米·麦科米克', '舰艇', '日本自卫队', '“海高斯”台风', '台风眼', '佩里克', '斯蒂芬·施塔内克', '丹尼尔·米克斯', '台风', '施塔内克']
f4238f1382844dff8213939e3fcf4755;a7d7b2f01de741b0a16e21bfd4a9bfd5;军事/军史回眸;88岁志愿军老兵：就想把美军飞机打下来;;doc;新浪新闻;7;1606147200000;['志愿军', '敌人', '高射炮', '用电', '方向', '我军', '阵地', '火力', '火炮', '战友'];['军史回眸', '国际军事', '军事'];['火炮', '拉尔·卡麦隆', '美军', '苏式高射炮', '荣立', '高射炮兵第501团', 'F-84战机', '中国人民志愿军', '中国人民志愿军高射炮兵第501团', '高射炮', '解放村志愿军高射炮兵第501团', '70周年·', '李维波', 'F-84战斗轰炸机', '李维波 \u3000\u3000 ']
3e1ed75ee05944feb9b62c6d7868a857;a7d7b2f01de741b0a16e21bfd4a9bfd5;军事/军史回眸;中印战争之前 印度是如何用3天打赢一个欧洲国家的;;doc;新浪新闻;13;1606147200000;['地区', '国家', '总督', '殖民地', '当局', '殖民', '葡军', '领土', '交通', '葡属'];['军史回眸', '国际军事', '军事'];['印度海军', '库尼亚', '肯尼迪', '德拉-纳加尔哈维利', '鲍斯 \u3000\u3000', '航母', '尼赫鲁', '默尔', '印度空军', '鲍斯', '帕纳吉', '印军', '阿 \u3000\u3000帕纳吉', '轻型航母', '印度陆军', '第一枪', '萨拉查 \u3000\u3000', '柯钦']
beb98f75e85e45e494ec8d1cb7510a93;a7d7b2f01de741b0a16e21bfd4a9bfd5;军事/军史回眸;距今2500多年历史！埃及出土27具古棺 保存完好;;doc;新浪新闻;5;1606147200000;['地区', '时间', '发掘出', '历史', '墓地', '人员', '新闻', '棺材', '阶梯', '开罗'];['军史回眸', '国际军事', '军事'];[]
0830be5d6d814429a418eb6ec8709c25;a7d7b2f01de741b0a16e21bfd4a9bfd5;军事/军史回眸;那位用可乐换20艘军舰的人去世了;;doc;新浪新闻;7;1606147200000;['国家', '百事', '产品', '公司', '百事公司', '双方', '海军', '时任', '原浆', '世界'];['军史回眸', '国际军事', '军事'];['周杰伦', '迈克尔杰克逊', 'кита Сергеевич Х', '安迪·沃霍尔', '美国海军', '艾森豪威尔', ' \u3000\u3000肯德尔', '黄青春', '潜艇', '朱可夫', '驱逐舰', '布伦特 · 斯考克罗夫特', '赫鲁晓夫', '\u3000赫鲁晓夫', '刘德华', '军舰', '护卫舰', '艾森豪威尔小弟克拉克', '巡洋舰', '迈克杰克逊', '尼克松']
18f25086f24e41f3ae46c7f98f9f1441;a7d7b2f01de741b0a16e21bfd4a9bfd5;军事/军史回眸;志愿军高射炮兵李维波：三年几乎没离开过自己的炮位;;doc;新浪新闻;4;1606147200000;['志愿军', '敌人', '高射炮', '用电', '方向', '我军', '阵地', '火力', '火炮', '战友'];['军史回眸', '国际军事', '军事'];['火炮', '拉尔·卡麦隆', '美军', '苏式高射炮', '荣立', '高射炮兵第501团', 'F-84战机', '中国人民志愿军', '中国人民志愿军高射炮兵第501团', '高射炮', '解放村志愿军高射炮兵第501团', '李维波', 'F-84战斗轰炸机']
